Abbreviation	Short Name	Systematic name
4eLeg	4-Epilegionaminic acid	5,7-Diamino-3,5,7,9-tetradeoxy-D-glycero-D-talo-non-2-ulopyranosonic acid
6dAlt	6-Deoxy-L-altrose	6-Deoxy-L-altropyranose
6dAltNAc	N-Acetyl-6-deoxy-L-altrosamine	2-Acetamido-2,6-dideoxy-L-altropyranose
6dGul	6-Deoxy-D-gulose	6-Deoxy-D-gulopyranose
6dTal	6-Deoxy-D-talose	6-Deoxy-D-talopyranose
6dTalNAc	N-Acetyl-6-deoxy-D-talosamine	2-Acetamido-2,6-dideoxy-D-talopyranose
Abe	Abequose	3,6-Dideoxy-D-xylo-hexopyranose
Aci	Acinetaminic acid	5,7-Diamino-3,5,7,9-tetradeoxy-L-glycero-L-altro-non-2-ulopyranosonic acid
All	D-Allose	D-Allopyranose
AllA	D-Alluronic acid	D-Allopyranuronic acid
AllN	D-Allosamine	2-Amino-2-deoxy-D-allopyranose
AllNAc	N-Acetyl-D-allosamine	2-Acetamido-2-deoxy-D-allopyranose
Alt	L-Altrose	L-Altropyranose
AltA	L-Altruronic acid	L-Altropyranuronic acid
AltN	L-Altrosamine	2-Amino-2-deoxy-L-altropyranose
AltNAc	N-Acetyl-L-altrosamine	2-Acetamido-2-deoxy-L-altropyranose
Api	L-Apiose	3-C-(Hydroxymethyl)-L-erythro-tetrofuranose
Ara	L-Arabinose	L-Arabinopyranose
Bac	Bacillosamine	2,4-Diamino-2,4,6-trideoxy-D-glucopyranose
Col	Colitose	3,6-Dideoxy-L-xylo-hexopyranose
DDmanHep	D-glycero-D-manno-Heptose	D-glycero-D-manno-Heptopyranose
Dha	3-Deoxy-D-lyxo-heptulosaric acid	3-Deoxy-D-lyxo-hept-2-ulopyranosaric acid
Dig	D-Digitoxose	2,6-Dideoxy-D-ribo-hexopyranose
Fru	D-Fructose	D-arabino-Hex-2-ulopyranose
Fuc	L-Fucose	6-Deoxy-L-galactopyranose
FucNAc	N-Acetyl-L-fucosamine	2-Acetamido-2,6-dideoxy-L-galactopyranose
Gal	D-Galactose	D-Galactopyranose
GalA	D-Galacturonic acid	D-Galactopyranuronic acid
GalN	D-Galactosamine	2-Amino-2-deoxy-D-galactopyranose
GalNAc	N-Acetyl-D-galactosamine	2-Acetamido-2-deoxy-D-galactopyranose
Glc	D-Glucose	D-Glucopyranose
GlcA	D-Glucuronic acid	D-Glucopyranuronic acid
GlcN	D-Glucosamine	2-Amino-2-deoxy-D-glucopyranose
GlcNAc	N-Acetyl-D-glucosamine	2-Acetamido-2-deoxy-D-glucopyranose
Gul	D-Gulose	D-Gulopyranose
GulA	D-Guluronic acid	D-Gulopyranuronic acid
GulN	D-Gulosamine	2-Amino-2-deoxy-D-gulopyranose
GulNAc	N-Acetyl-D-gulosamine	2-Acetamido-2-deoxy-D-gulopyranose
Ido	L-Idose	L-Idopyranose
IdoA	L-Iduronic acid	L-Idopyranuronic acid
IdoN	L-Idosamine	2-Amino-2-deoxy-L-idopyranose
IdoNAc	N-Acetyl-L-idosamine	2-Acetamido-2-deoxy-L-idopyranose
Kdn	3-Deoxy-D-glycero-D-galacto-nonulosonic acid	3-Deoxy-D-glycero-D-galacto-non-2-ulopyranosonic acid
Kdo	3-Deoxy-D-manno-octulosonic acid	3-Deoxy-D-manno-oct-2-ulopyranosonic acid
Leg	Legionaminic acid	5,7-Diamino-3,5,7,9-tetradeoxy-D-glycero-D-galacto-non-2-ulopyranosonic acid
LDmanHep	L-glycero-D-manno-Heptose	L-glycero-D-manno-Heptopyranose
Lyx	D-Lyxose	D-Lyxopyranose
Man	D-Mannose	D-Mannopyranose
ManA	D-Mannuronic acid	D-Mannopyranuronic acid
ManN	D-Mannosamine	2-Amino-2-deoxy-D-mannopyranose
ManNAc	N-Acetyl-D-mannosamine	2-Acetamido-2-deoxy-D-mannopyranose
Mur	Muramic acid	2-Amino-3-O-[(R)-1-carboxyethyl]-2-deoxy-D-glucopyranose
MurNAc	N-Acetylmuramic acid	2-Acetamido-3-O-[(R)-1-carboxyethyl]-2-deoxy-D-glucopyranose
MurNGc	N-Glycolylmuramic acid	3-O-[(R)-1-Carboxyethyl]-2-deoxy-2-glycolamido-D-glucopyranose
Neu	Neuraminic acid	5-Amino-3,5-dideoxy-D-glycero-D-galacto-non-2-ulopyranosonic acid
Neu5Ac	N-Acetylneuraminic acid	5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-non-2-ulopyranosonic acid
Neu5Gc	N-Glycolylneuraminic acid	3,5-Dideoxy-5-glycolamido-D-glycero-D-galacto-non-2-ulopyranosonic acid
Oli	Olivose	2,6-Dideoxy-D-arabino-hexopyranose
Par	Paratose	3,6-Dideoxy-D-ribo-hexopyranose
Pse	Pseudaminic acid	5,7-Diamino-3,5,7,9-tetradeoxy-L-glycero-L-manno-non-2-ulopyranosonic acid
Psi	D-Psicose	D-ribo-Hex-2-ulopyranose
Qui	D-Quinovose	6-Deoxy-D-glucopyranose
QuiNAc	N-Acetyl-D-quinovosamine	2-Acetamido-2,6-dideoxy-D-glucopyranose
Rha	L-Rhamnose	6-Deoxy-L-mannopyranose
RhaNAc	N-Acetyl-L-rhamnosamine	2-Acetamido-2,6-dideoxy-L-mannopyranose
Rib	D-Ribose	D-Ribopyranose
Sia	Sialic acid	Sialic acid residue of unspecified type
Sor	L-Sorbose	L-xylo-Hex-2-ulopyranose
Tag	D-Tagatose	D-lyxo-Hex-2-ulopyranose
Tal	D-Talose	D-Talopyranose
TalA	D-Taluronic acid	D-Talopyranuronic acid
TalN	D-Talosamine	2-Amino-2-deoxy-D-talopyranose
TalNAc	N-Acetyl-D-talosamine	2-Acetamido-2-deoxy-D-talopyranose
Tyv	Tyvelose	3,6-Dideoxy-D-arabino-hexopyranose
Xyl	D-Xylose	D-Xylopyranose